Id;username;party;text;created_at;retweet_count;favorite_count;text_clean
0;Jaumeasens;bcomu;Que el Suprem no deixi comparèixer davant el Parlament als presos polítics és una altra ofensa a la ciutadania de Catalunya. Aquí ho explica la @jessicaalbiach 👇 ;2019-01-22 11:09:09;205;378;que el suprem no deixi compareixer davant el parlament als presos politics es una altra ofensa a la ciutadania de catalunya aqui ho explica la jessicaalbiach 
1;subirats9;bcomu;Un artículo a leer de @ainagallego sobre un tema importante “El cambio tecnológico en el trabajo: ¿Amenaza u oportunidad?” ;2018-12-12 10:20:00;2;2;un articulo a leer de ainagallego sobre un tema importante el cambio tecnologico en el trabajo amenaza u oportunidad 
2;subirats9;bcomu;El sentiment de desprotecció davant les incerteses que genera el canvi d’època i les polítiques neoliberals provoca l’aparició d’aquestes alternatives xenòfobes i ultraconservadores que prometen protecció per uns i odi als altres  #FAQSpeldarrereTV3 @JordiVaquer @G_Pisarello;2018-11-24 23:06:50;20;58;el sentiment de desproteccio davant les incerteses que genera el canvi d epoca i les politiques neoliberals provoca l aparicio d aquestes alternatives xenofobes i ultraconservadores que prometen proteccio per uns i odi als altres faqspeldarreretv jordivaquer gpisarello
3;neusmunte;jxcat;"I cap d’ells te traça amb els micròfons i les grabadores, ni res a veure amb les clavegueres, ves per on.
Però a mi, i a molts més, em representen. També els exiliats i els presos polítics. ";2018-10-23 20:13:25;161;462;i cap d ells te traca amb els microfons i les grabadores ni res a veure amb les clavegueres ves per on pero a mi i a molts mes em representen tambe els exiliats i els presos politics 
4;cuevillasjacs;jxcat;"El @sergimiquel s’ha acomiadat avui com a Secretari General de la @JNCatalunya amb un gran discurs llargament ovacionat pels seus companys i companyes

Ara necessitem tot el seu talent com a Diputat al Congrés per @JuntsXCat a #Girona ";2019-03-17 18:45:50;58;238;el sergimiquel s ha acomiadat avui com a secretari general de la jncatalunya amb un gran discurs llargament ovacionat pels seus companys i companyes ara necessitem tot el seu talent com a diputat al congres per juntsxcat a girona 
5;laiabonetrull;psc;En un món connectat les ciutats són centres de comerç, creixement, innovació, tecnologia i finances ;2017-09-16 10:41:22;2;3;en un mon connectat les ciutats son centres de comerc creixement innovacio tecnologia i finances 
6;junqueras;erc;Moltes gràcies @AntoniBassas per tenir-nos sempre presents i no callar per denunciar aquesta injustíca. Una abraçada! ;2018-12-12 07:39:20;551;1713;moltes gracies antonibassas per tenir nos sempre presents i no callar per denunciar aquesta injustica una abracada 
7;laiabonetrull;psc;"Escoltant l'amic i mestre Antón Costas a la presentació de ""El final del desconcierto"" al @CdEconomia Brillant, com sempre #ContracteSocial ";2017-10-23 18:02:47;3;10;escoltant l amic i mestre anton costas a la presentacio de el final del desconcierto al cdeconomia brillant com sempre contractesocial 
8;laiabonetrull;psc;#Recomano nou vídeo testimonial del Llegat Pasqual Maragall #LlegatPM @catalunyaeuropa En aquesta ocasió, amb el periodista, filòsof i escriptor Josep Ramoneda 👉 ;2018-09-10 10:45:59;4;15;recomano nou video testimonial del llegat pasqual maragall llegatpm catalunyaeuropa en aquesta ocasio amb el periodista filosof i escriptor josep ramoneda 
9;javiermulleras;pp;Entrega anual de premios Rosa de Plata de @BarnaCentre , con el candidato @josebouvila y nuestra consellera de CiutatVella @ejimenezcara .Desde el @PPCatalunya siempre apoyando al comercio de barrio,ellos, cada día, levantando la persiana, hacen grande #bcn #StopColau #BouBcn2019 ;2019-03-27 00:29:06;10;12;entrega anual de premios rosa de plata de barnacentre con el candidato josebouvila y nuestra consellera de ciutatvella ejimenezcara desde el ppcatalunya siempre apoyando al comercio de barrio ellos cada dia levantando la persiana hacen grande bcn stopcolau boubcn 
10;jordigraupera;bcncapital;Quin discurs més bo, Pablo @pbustinduy. Ets el millor de tota l'esquerra espanyola. Quin luxe seria discutir amb tu. Sort a Europa. ;2019-02-27 20:48:59;18;75;quin discurs mes bo pablo pbustinduy ets el millor de tota l esquerra espanyola quin luxe seria discutir amb tu sort a europa 
11;ernestmaragall;erc;Jo també he signat el manifest de la plataforma 'Som el 80%'. Fes sentir la teva veu i adhereix-t'hi! #somel80 ;2018-11-06 13:43:58;60;172;jo tambe he signat el manifest de la plataforma som el fes sentir la teva veu i adhereix t hi somel 
12;jaumecollboni;psc;"Siempre en nuestro corazón y en nuestra memoria 🌈🌹
„Sea cual sea su voto, quiero decirle que los homosexuales no somos orientaciones sexuales que vagamos por el espacio: somos sus hijos, sus hermanos, sus compañeros de grupo, sus colegas de partido...“ #Zerolo ";2019-02-26 11:54:10;63;141;siempre en nuestro corazon y en nuestra memoria sea cual sea su voto quiero decirle que los homosexuales no somos orientaciones sexuales que vagamos por el espacio somos sus hijos sus hermanos sus companeros de grupo sus colegas de partido zerolo 
13;Jaumeasens;bcomu;Primer es van aliar amb els hereus del Duran a CAT, dp amb el xenòfob de l’ Albiol a Badalona i ara volen un pacte amb PP, Cs i Pdcat per impedir a BCN un govern d’ esquerres entre els comuns i ERC. La dretització del PSC és imparable!👇;2019-03-10 18:42:12;387;719;primer es van aliar amb els hereus del duran a cat dp amb el xenofob de l albiol a badalona i ara volen un pacte amb pp cs i pdcat per impedir a bcn un govern d esquerres entre els comuns i erc la dretitzacio del psc es imparable 
14;gonzalezpons;pp;González Pons: “El gobierno español, junto con Maduro, va a ser derrotado el próximo jueves en el Parlamento Europeo” | populares ;2019-01-25 11:29:36;228;432;gonzalez pons el gobierno espanol junto con maduro va a ser derrotado el proximo jueves en el parlamento europeo populares 
