ResponseMetadata;Sentiment;SentimentScore
{'RequestId': '0463a094-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0463a094-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '162', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.02575763314962387, 'Negative': 0.24521325528621674, 'Neutral': 0.6892552971839905, 'Mixed': 0.039773743599653244}
{'RequestId': '0476b365-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0476b365-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.11894074827432632, 'Negative': 0.013702575117349625, 'Neutral': 0.8561599254608154, 'Mixed': 0.011196693405508995}
{'RequestId': '0486b8f6-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0486b8f6-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.045968685299158096, 'Negative': 0.17260156571865082, 'Neutral': 0.720625638961792, 'Mixed': 0.06080412119626999}
{'RequestId': '0498ba57-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0498ba57-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};NEGATIVE;{'Positive': 0.04089771956205368, 'Negative': 0.5129547715187073, 'Neutral': 0.3441751003265381, 'Mixed': 0.10197246074676514}
{'RequestId': '04a78768-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '04a78768-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.05978035554289818, 'Negative': 0.02604563720524311, 'Neutral': 0.8663691282272339, 'Mixed': 0.04780491068959236}
{'RequestId': '04b717ca-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '04b717ca-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.40591198205947876, 'Negative': 0.0023572903592139482, 'Neutral': 0.5856567621231079, 'Mixed': 0.00607398571446538}
{'RequestId': '04c6f64b-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '04c6f64b-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};POSITIVE;{'Positive': 0.8351534605026245, 'Negative': 0.012243503704667091, 'Neutral': 0.11350226402282715, 'Mixed': 0.03910075128078461}
{'RequestId': '04d686ac-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '04d686ac-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.09701377898454666, 'Negative': 0.002908668713644147, 'Neutral': 0.8913565278053284, 'Mixed': 0.008720985613763332}
{'RequestId': '04e5effd-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '04e5effd-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '164', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.0321061946451664, 'Negative': 0.0013692033244296908, 'Neutral': 0.9643269777297974, 'Mixed': 0.0021976411808282137}
{'RequestId': '04f5805e-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '04f5805e-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '160', 'date': 'Mon, 10 Jun 2019 09:13:31 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.290521502494812, 'Negative': 0.009028295055031776, 'Neutral': 0.6835581064224243, 'Mixed': 0.01689205877482891}
{'RequestId': '0504747f-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0504747f-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};POSITIVE;{'Positive': 0.5822958946228027, 'Negative': 0.0024057691916823387, 'Neutral': 0.3879067301750183, 'Mixed': 0.02739151194691658}
{'RequestId': '05120910-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '05120910-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.03461984544992447, 'Negative': 0.059052761644124985, 'Neutral': 0.889693558216095, 'Mixed': 0.01663387380540371}
{'RequestId': '0520fd31-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '0520fd31-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.17437763512134552, 'Negative': 0.004100756719708443, 'Neutral': 0.8125556707382202, 'Mixed': 0.008965940214693546}
{'RequestId': '052f7c22-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '052f7c22-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.02183503471314907, 'Negative': 0.003340884344652295, 'Neutral': 0.9689363241195679, 'Mixed': 0.005887750536203384}
{'RequestId': '053dacf3-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '053dacf3-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '166', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.015607903711497784, 'Negative': 0.0018327470170333982, 'Neutral': 0.9807270765304565, 'Mixed': 0.0018322349060326815}
{'RequestId': '054d8b74-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '054d8b74-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '160', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.15814119577407837, 'Negative': 0.19789965450763702, 'Neutral': 0.5612613558769226, 'Mixed': 0.0826977789402008}
{'RequestId': '055db815-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '055db815-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.023104676976799965, 'Negative': 0.2419653981924057, 'Neutral': 0.6940131783485413, 'Mixed': 0.04091677814722061}
{'RequestId': '056cd346-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '056cd346-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};POSITIVE;{'Positive': 0.6490659713745117, 'Negative': 0.024626245722174644, 'Neutral': 0.06808159500360489, 'Mixed': 0.25822609663009644}
{'RequestId': '057e8688-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '057e8688-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '162', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.07113096117973328, 'Negative': 0.06544353067874908, 'Neutral': 0.8179519176483154, 'Mixed': 0.045473601669073105}
{'RequestId': '058d7aa9-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '058d7aa9-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.06234100088477135, 'Negative': 0.18632574379444122, 'Neutral': 0.7019398808479309, 'Mixed': 0.04939337074756622}
{'RequestId': '059c6eca-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '059c6eca-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '164', 'date': 'Mon, 10 Jun 2019 09:13:32 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.041493918746709824, 'Negative': 0.004808216355741024, 'Neutral': 0.9472880363464355, 'Mixed': 0.006409799214452505}
{'RequestId': '05ac4d4b-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '05ac4d4b-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '165', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.019974669441580772, 'Negative': 0.010476353578269482, 'Neutral': 0.9631138443946838, 'Mixed': 0.0064351060427725315}
{'RequestId': '05bbb69c-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '05bbb69c-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.019330885261297226, 'Negative': 0.034934986382722855, 'Neutral': 0.9299104809761047, 'Mixed': 0.01582367904484272}
{'RequestId': '05caf8dd-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '05caf8dd-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.4186584949493408, 'Negative': 0.028587456792593002, 'Neutral': 0.5326523780822754, 'Mixed': 0.02010168880224228}
{'RequestId': '05dc850e-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '05dc850e-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.06175078824162483, 'Negative': 0.14073802530765533, 'Neutral': 0.7625157237052917, 'Mixed': 0.03499549627304077}
{'RequestId': '05ee5f5f-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '05ee5f5f-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.13351602852344513, 'Negative': 0.029389197006821632, 'Neutral': 0.8063260912895203, 'Mixed': 0.030768664553761482}
{'RequestId': '05fe64f0-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '05fe64f0-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};POSITIVE;{'Positive': 0.910714328289032, 'Negative': 0.0003075170679949224, 'Neutral': 0.0800362378358841, 'Mixed': 0.00894192885607481}
{'RequestId': '060da731-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '060da731-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '163', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.19273056089878082, 'Negative': 0.008247767575085163, 'Neutral': 0.7846337556838989, 'Mixed': 0.014387942850589752}
{'RequestId': '061dfae2-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '061dfae2-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '164', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};NEUTRAL;{'Positive': 0.38510558009147644, 'Negative': 0.0005887020961381495, 'Neutral': 0.6111928820610046, 'Mixed': 0.0031128027476370335}
{'RequestId': '062d3d23-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '062d3d23-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};POSITIVE;{'Positive': 0.5896515846252441, 'Negative': 0.02763388119637966, 'Neutral': 0.3455204367637634, 'Mixed': 0.03719408065080643}
{'RequestId': '063cf494-8b60-11e9-b8ff-d742a3f3ba06', 'HTTPStatusCode': 200, 'HTTPHeaders': {'x-amzn-requestid': '063cf494-8b60-11e9-b8ff-d742a3f3ba06', 'content-type': 'application/x-amz-json-1.1', 'content-length': '161', 'date': 'Mon, 10 Jun 2019 09:13:34 GMT'}, 'RetryAttempts': 0};POSITIVE;{'Positive': 0.6931050419807434, 'Negative': 0.0069252192042768, 'Neutral': 0.26828840374946594, 'Mixed': 0.03168129920959473}
