;Id;username;party;text;created_at;retweet_count;favorite_count;language;text_modif;traducciones;day;month;year
0;0;martarovira;erc;Últim acte de campanya! Aquí tossudament alçats i amb un somriure per fer camí cap a la #República. Ho hem dit tan alt que l'Oriol @junqueras, avui, ens ha sentit des d'Estremera! ;2017-12-19 20:12:01;785;2295;ca;Últim acte de campanya! Aquí tossudament alçats i amb un somriure per fer camí cap a la #República. Ho hem dit tan alt que l'Oriol @junqueras, avui, ens ha sentit des d'Estremera! ;Último acto de campaña! Aquí tozudamente alzados y con una sonrisa para hacer camino hacia la # República. Lo hemos dicho tan alto que Oriol @junqueras, hoy, nos ha sentido desde Estremera! ;19;12;2017
1;1;xavierdomenechs;comuns;"#Badalona necessita uns pressupostos que posin la ciutadania al capdavant i que segueixin recuperant els drets socials que les retallades del PP van eliminar. La transformació a Badalona no es pot aturar. Per això, tot el suport a @mariadolorsa.  

#DolorsAlcaldessa";2018-04-27 10:04:19;55;93;ca;"#Badalona necessita uns pressupostos que posin la ciutadania al capdavant i que segueixin recuperant els drets socials que les retallades del PP van eliminar. La transformació a Badalona no es pot aturar. Per això, tot el suport a @mariadolorsa.  

#DolorsAlcaldessa";#Badalona necesita unos presupuestos que pongan la ciudadanía al frente y que sigan recuperando los derechos sociales que los recortes del PP eliminaron. La transformación en Badalona no se puede detener. Por ello, todo el apoyo a @mariadolorsa. #DolorsAlcaldessa ;27;4;2018
2;2;albert_rivera;cs;Encuentro Villacís-Valls para lanzar una estrategia electoral común en Madrid y Barcelona ;2018-11-17 20:34:58;357;622;es;Encuentro Villacís-Valls para lanzar una estrategia electoral común en Madrid y Barcelona ;Encuentro Villacís-Valls para lanzar una estrategia electoral común en Madrid y Barcelona ;17;11;2018
3;3;jaumecollboni;psc;“La palabra es como una bala, no tiene retorno” interesante entrevista a ⁦@mcampovidal⁩  ;2018-10-22 18:10:01;4;6;es;“La palabra es como una bala, no tiene retorno” interesante entrevista a ⁦@mcampovidal⁩  ;“La palabra es como una bala, no tiene retorno” interesante entrevista a ⁦@mcampovidal⁩  ;22;10;2018
4;4;albiol_xg;ppc;📻 Esta noche, a partir de las 22:10h, me entrevistan en @linternacope. ¡Os espero! ;2018-08-16 10:30:27;20;47;es;📻 Esta noche, a partir de las 22:10h, me entrevistan en @linternacope. ¡Os espero! ;📻 Esta noche, a partir de las 22:10h, me entrevistan en @linternacope. ¡Os espero! ;16;8;2018
5;5;jaumecollboni;psc;Escapada de @FeriaLiber per arribar a la presentació de “La Otra Cataluña” de @svilasanjuan @EdDestino a la @libreriabernat. Dies com avui ens reafirmen en la millor capitalitat de Barcelona: El llibre! ;2018-10-02 19:22:47;2;17;ca;Escapada de @FeriaLiber per arribar a la presentació de “La Otra Cataluña” de @svilasanjuan @EdDestino a la @libreriabernat. Dies com avui ens reafirmen en la millor capitalitat de Barcelona: El llibre! ;"Escapada de @FeriaLiber para llegar a la presentación de ""La Otra Cataluña"" de @svilasanjuan @EdDestino la @libreriabernat. Días como hoy nos reafirman en la mejor capitalidad de Barcelona: El libro! ";2;10;2018
6;6;miqueliceta;psc;Brasil se entrega a la extrema derecha, editorial de El Periódico de Catalunya, 29.10.2018  vía @Elperiodico;2018-10-29 08:50:22;13;29;es;Brasil se entrega a la extrema derecha, editorial de El Periódico de Catalunya, 29.10.2018  vía @Elperiodico;Brasil se entrega a la extrema derecha, editorial de El Periódico de Catalunya, 29.10.2018  vía @Elperiodico;29;10;2018
7;7;martarovira;erc;"""Presunta legitimidad"" diu Dastis a @ONU_es
Vaig ser escollida en unes eleccions legals i legítimes! 
I estic complint un mandat democràtic!";2017-09-22 05:18:36;1313;2015;ca;"""Presunta legitimidad"" diu Dastis a @ONU_es
Vaig ser escollida en unes eleccions legals i legítimes! 
I estic complint un mandat democràtic!";"""Presunto legitimidad"" dice Dastis a @ONU_es Fui elegida en unas elecciones legales y legítimas! Y estoy cumpliendo un mandato democrático! ";22;9;2017
8;8;miqueliceta;psc;"Sobre Carmen Alborch: ""En la Universitat abrió caminos y donde no los había, los creó"", Rafel Montaner  via @levante_emv";2018-10-25 08:24:51;15;38;es;"Sobre Carmen Alborch: ""En la Universitat abrió caminos y donde no los había, los creó"", Rafel Montaner  via @levante_emv";"Sobre Carmen Alborch: ""En la Universitat abrió caminos y donde no los había, los creó"", Rafel Montaner  via @levante_emv";25;10;2018
9;9;jaumecollboni;psc;Hoy #DíaMundialDelCáncerdeMama hacemos un reconocimiento a todas las mujeres que luchan por superar la enfermedad. Debemos aportar más recursos para la prevención, el tratamiento y la investigación #Noestáissolas 💪🏼💗 ;2018-10-19 07:41:58;9;19;es;Hoy #DíaMundialDelCáncerdeMama hacemos un reconocimiento a todas las mujeres que luchan por superar la enfermedad. Debemos aportar más recursos para la prevención, el tratamiento y la investigación #Noestáissolas 💪🏼💗 ;Hoy #DíaMundialDelCáncerdeMama hacemos un reconocimiento a todas las mujeres que luchan por superar la enfermedad. Debemos aportar más recursos para la prevención, el tratamiento y la investigación #Noestáissolas 💪🏼💗 ;19;10;2018
