;Id;username;party;text;created_at;retweet_count;favorite_count;language;text_modif;traducciones;day;month;year
0;0;martarovira;erc;Últim acte de campanya! Aquí tossudament alçats i amb un somriure per fer camí cap a la #República. Ho hem dit tan alt que l'Oriol @junqueras, avui, ens ha sentit des d'Estremera! ;2017-12-19 20:12:01;785;2295;ca;Últim acte de campanya! Aquí tossudament alçats i amb un somriure per fer camí cap a la #República. Ho hem dit tan alt que l'Oriol @junqueras, avui, ens ha sentit des d'Estremera! ;Últim acte de campanya! Aquí tossudament alçats i amb un somriure per fer camí cap a la #República. Ho hem dit tan alt que l'Oriol @junqueras, avui, ens ha sentit des d'Estremera! ;19;12;2017
1;1;xavierdomenechs;comuns;"#Badalona necessita uns pressupostos que posin la ciutadania al capdavant i que segueixin recuperant els drets socials que les retallades del PP van eliminar. La transformació a Badalona no es pot aturar. Per això, tot el suport a @mariadolorsa.  

#DolorsAlcaldessa";2018-04-27 10:04:19;55;93;ca;"#Badalona necessita uns pressupostos que posin la ciutadania al capdavant i que segueixin recuperant els drets socials que les retallades del PP van eliminar. La transformació a Badalona no es pot aturar. Per això, tot el suport a @mariadolorsa.  

#DolorsAlcaldessa";#Badalona necessita uns pressupostos que posin la ciutadania al capdavant i que segueixin recuperant els drets socials que les retallades del PP van eliminar. La transformació a Badalona no es pot aturar. Per això, tot el suport a @mariadolorsa. #DolorsAlcaldessa ;27;4;2018
2;2;albert_rivera;cs;Encuentro Villacís-Valls para lanzar una estrategia electoral común en Madrid y Barcelona ;2018-11-17 20:34:58;357;622;es;Encuentro Villacís-Valls para lanzar una estrategia electoral común en Madrid y Barcelona ;Trobada Villacís-Valls per llançar una estratègia electoral comú a Madrid i Barcelona ;17;11;2018
3;3;jaumecollboni;psc;“La palabra es como una bala, no tiene retorno” interesante entrevista a ⁦@mcampovidal⁩  ;2018-10-22 18:10:01;4;6;es;“La palabra es como una bala, no tiene retorno” interesante entrevista a ⁦@mcampovidal⁩  ;"""La paraula és com una bala, no té retorn"" interessant entrevista a @mcampovidal ";22;10;2018
4;4;albiol_xg;ppc;📻 Esta noche, a partir de las 22:10h, me entrevistan en @linternacope. ¡Os espero! ;2018-08-16 10:30:27;20;47;es;📻 Esta noche, a partir de las 22:10h, me entrevistan en @linternacope. ¡Os espero! ;📻 Aquesta nit, a partir de les 22: 10h, em entrevisten a @linternacope. Us hi espero! ;16;8;2018
5;5;jaumecollboni;psc;Escapada de @FeriaLiber per arribar a la presentació de “La Otra Cataluña” de @svilasanjuan @EdDestino a la @libreriabernat. Dies com avui ens reafirmen en la millor capitalitat de Barcelona: El llibre! ;2018-10-02 19:22:47;2;17;ca;Escapada de @FeriaLiber per arribar a la presentació de “La Otra Cataluña” de @svilasanjuan @EdDestino a la @libreriabernat. Dies com avui ens reafirmen en la millor capitalitat de Barcelona: El llibre! ;Escapada de @FeriaLiber per arribar a la presentació de “La Otra Cataluña” de @svilasanjuan @EdDestino a la @libreriabernat. Dies com avui ens reafirmen en la millor capitalitat de Barcelona: El llibre! ;2;10;2018
6;6;miqueliceta;psc;Brasil se entrega a la extrema derecha, editorial de El Periódico de Catalunya, 29.10.2018  vía @Elperiodico;2018-10-29 08:50:22;13;29;es;Brasil se entrega a la extrema derecha, editorial de El Periódico de Catalunya, 29.10.2018  vía @Elperiodico;Brasil es lliura a l'extrema dreta, editorial d'El Periódico de Catalunya, 2018.10.29 via @Elperiodico ;29;10;2018
7;7;martarovira;erc;"""Presunta legitimidad"" diu Dastis a @ONU_es
Vaig ser escollida en unes eleccions legals i legítimes! 
I estic complint un mandat democràtic!";2017-09-22 05:18:36;1313;2015;ca;"""Presunta legitimidad"" diu Dastis a @ONU_es
Vaig ser escollida en unes eleccions legals i legítimes! 
I estic complint un mandat democràtic!";"""Presunta legitimidad"" diu Dastis a @ONU_es Vaig ser escollida en unes eleccions legals i legítimes! I estic complint un mandat democràtic! ";22;9;2017
8;8;miqueliceta;psc;"Sobre Carmen Alborch: ""En la Universitat abrió caminos y donde no los había, los creó"", Rafel Montaner  via @levante_emv";2018-10-25 08:24:51;15;38;es;"Sobre Carmen Alborch: ""En la Universitat abrió caminos y donde no los había, los creó"", Rafel Montaner  via @levante_emv";"Sobre Carmen Alborch: ""A la Universitat va obrir camins i on no n'hi havia, els va crear"", Rafel Montaner via @levante_emv ";25;10;2018
9;9;jaumecollboni;psc;Hoy #DíaMundialDelCáncerdeMama hacemos un reconocimiento a todas las mujeres que luchan por superar la enfermedad. Debemos aportar más recursos para la prevención, el tratamiento y la investigación #Noestáissolas 💪🏼💗 ;2018-10-19 07:41:58;9;19;es;Hoy #DíaMundialDelCáncerdeMama hacemos un reconocimiento a todas las mujeres que luchan por superar la enfermedad. Debemos aportar más recursos para la prevención, el tratamiento y la investigación #Noestáissolas 💪🏼💗 ;Avui # DíaMundialDelCáncerdeMama fem un reconeixement a totes les dones que lluiten per superar la malaltia. Hem d'aportar més recursos per a la prevenció, el tractament i la investigació # Noestáissolas 💪🏼💗 ;19;10;2018
10;10;jaumecollboni;psc;Unión Europea: Por una Europa más unida y más fuerte | Opinión | EL PAÍS por ⁦@JosepBorrellF⁩  ;2018-10-25 09:28:28;5;9;es;Unión Europea: Por una Europa más unida y más fuerte | Opinión | EL PAÍS por ⁦@JosepBorrellF⁩  ;Unió Europea: Per una Europa més unida i més forta | opinió | PAÍS per @JosepBorrellF ;25;10;2018
11;11;miqueliceta;psc;La inaplazable reforma de la justicia, editorial de El Periódico de Catalunya, 11.11.2018  vía @Elperiodico;2018-11-11 10:01:26;8;11;es;La inaplazable reforma de la justicia, editorial de El Periódico de Catalunya, 11.11.2018  vía @Elperiodico;La inajornable reforma de la justícia, editorial d'El Periódico de Catalunya, 2018.11.11 via @Elperiodico ;11;11;2018
12;12;xavierdomenechs;comuns;"“Estas son las reglas del juego en nuestro Estado de Derecho y en nuestra democracia” (Lesmes) la clave aquí está en la palabra ""nuestro"", ""nuestro Estado"" ";2018-11-07 13:21:20;254;483;es;"“Estas son las reglas del juego en nuestro Estado de Derecho y en nuestra democracia” (Lesmes) la clave aquí está en la palabra ""nuestro"", ""nuestro Estado"" ";"""Aquestes són les regles del joc en el nostre Estat de Dret i en la nostra democràcia"" (Lesmes) la clau aquí està en la paraula ""nostre"", ""el nostre Estat"" ";7;11;2018
13;13;quimtorraipla;jxcat;Estimat @JMatasD i resta de membres de la Sindicadura. Gràcies per la vostra feina. Amb vosaltres, ens jutgen a tots. Som al vostre costat. No acceptarem cap sentència que no sigui l’absolució. Abraçades  #PosarUrnesNoÉsDelicte ;2018-10-25 19:47:46;431;1016;ca;Estimat @JMatasD i resta de membres de la Sindicadura. Gràcies per la vostra feina. Amb vosaltres, ens jutgen a tots. Som al vostre costat. No acceptarem cap sentència que no sigui l’absolució. Abraçades  #PosarUrnesNoÉsDelicte ;Estimat @JMatasD i resta de membres de la Sindicadura. Gràcies per la vostra feina. Amb vosaltres, ens jutgen a tots. Som al vostre costat. No acceptarem cap sentència que no sigui l’absolució. Abraçades #PosarUrnesNoÉsDelicte ;25;10;2018
14;14;xavierdomenechs;comuns;"Avui he pogut estar amb @jcuixart @junqueras @raulromeva i veure a @jorditurull @joseprull @quimforn i espero poder veure a la resta en breu. 

Hem pogut parlar del futur de Catalunya en un diàleg que s’ha de fer en llibertat. La seva, la de tots i totes.";2018-08-01 19:52:27;179;633;ca;"Avui he pogut estar amb @jcuixart @junqueras @raulromeva i veure a @jorditurull @joseprull @quimforn i espero poder veure a la resta en breu. 

Hem pogut parlar del futur de Catalunya en un diàleg que s’ha de fer en llibertat. La seva, la de tots i totes.";Avui he pogut estar amb @jcuixart @junqueras @raulromeva i veure a @jorditurull @joseprull @quimforn i espero poder veure a la resta en breu. Hem pogut parlar del futur de Catalunya en un diàleg que s’ha de fer en llibertat. La seva, la de tots i totes. ;1;8;2018
15;15;adacolau;comuns;Ahir es va produïr un nou atac feixista a #9Barris amb violència i símbols nazis. Demanem q @interiorcat i fiscalia actuïn amb tota la contundència contra aquestes expressions d’odi a la ciutat. Barcelona és i serà sempre antifeixista.;2018-07-25 07:03:55;495;1322;ca;Ahir es va produïr un nou atac feixista a #9Barris amb violència i símbols nazis. Demanem q @interiorcat i fiscalia actuïn amb tota la contundència contra aquestes expressions d’odi a la ciutat. Barcelona és i serà sempre antifeixista.;Ahir es va produïr un nou atac feixista a #9Barris amb violència i símbols nazis. Demanem q @interiorcat i fiscalia actuïn amb tota la contundència contra aquestes expressions d’odi a la ciutat. Barcelona és i serà sempre antifeixista. ;25;7;2018
